Delays.Carrier,Delays.Late Aircraft,Delays.National Aviation System,Delays.Weather,Airport
1009,1275,3217,328,ATL
1259,1791,4022,367,ATL
1220,1766,4475,361,ATL
700,807,2267,161,ATL
756,906,3355,170,ATL
789,888,2773,155,ATL
1303,1408,4277,271,ATL
1302,1265,4567,599,ATL
1197,1579,7959,787,ATL
1068,912,3195,227,ATL
1007,924,3550,209,ATL
1326,1515,5402,556,ATL
1667,2070,7274,695,ATL
1854,1811,5038,491,ATL
1366,1443,4442,411,ATL
1090,944,5019,362,ATL
1257,1445,5822,500,ATL
1405,1596,6664,495,ATL
2059,1961,4886,473,ATL
1719,1577,4598,448,ATL
1288,1403,6104,399,ATL
1462,1838,5697,423,ATL
1283,1411,2734,316,ATL
1201,1195,3134,278,ATL
1686,1920,6892,479,ATL
1961,2557,8704,466,ATL
1916,2113,8440,381,ATL
1247,977,2374,127,ATL
1288,1402,4520,276,ATL
1466,1260,4100,314,ATL
2144,2336,4898,509,ATL
1634,1506,4563,401,ATL
1352,1427,4880,342,ATL
1516,1596,4458,286,ATL
1536,1434,3775,317,ATL
1561,1638,3988,341,ATL
2464,2276,3086,638,ATL
2910,2622,2757,539,ATL
2514,2459,4152,562,ATL
2056,2477,6941,509,ATL
2281,3267,7054,510,ATL
1886,2371,3702,325,ATL
1961,2130,2243,262,ATL
1788,1797,2644,414,ATL
1989,2109,2201,491,ATL
2049,1851,2108,327,ATL
1822,1826,1841,299,ATL
1527,1415,2328,193,ATL
2774,3094,4032,712,ATL
3082,3709,4321,812,ATL
3087,3239,4041,592,ATL
2352,1616,2584,299,ATL
2556,2170,3857,514,ATL
1799,1394,2413,302,ATL
2885,2708,4173,697,ATL
2137,1569,2593,269,ATL
2168,2156,3716,611,ATL
2347,2619,4552,616,ATL
1756,1849,3123,422,ATL
1466,1349,2165,227,ATL
1828,2157,3271,411,ATL
2065,2551,4561,635,ATL
1935,1904,3482,347,ATL
1247,1335,1822,147,ATL
925,2153,3434,89,ATL
995,2573,4153,124,ATL
1956,4483,4955,392,ATL
1226,2806,4172,252,ATL
776,1910,2842,101,ATL
1339,3914,5535,266,ATL
1264,3061,4407,192,ATL
1342,3211,5579,193,ATL
1442,3110,3190,225,ATL
1667,3906,4649,258,ATL
1495,3487,4727,271,ATL
1150,2091,4872,148,ATL
1291,2761,5787,170,ATL
920,1808,3858,80,ATL
1543,2789,5060,260,ATL
1176,1837,2648,234,ATL
1194,2204,2826,324,ATL
1393,2238,3446,194,ATL
950,1295,1866,113,ATL
1424,2181,3414,221,ATL
1795,2634,3586,232,ATL
1860,2899,3427,259,ATL
1522,2445,3561,168,ATL
1088,1679,1843,98,ATL
1136,2055,1848,121,ATL
1164,1917,2228,95,ATL
1604,2921,2190,262,ATL
1196,1971,2083,142,ATL
1048,1788,2008,131,ATL
1460,3026,3022,119,ATL
1290,2895,2356,149,ATL
1240,2607,1879,109,ATL
1660,3468,2841,218,ATL
1697,3202,2942,201,ATL
1309,2340,1901,155,ATL
969,1424,1904,112,ATL
965,1307,1730,58,ATL
944,1476,1491,41,ATL
1054,1373,1771,79,ATL
961,1548,2023,105,ATL
824,1246,1369,63,ATL
1244,2155,1829,100,ATL
875,1146,1056,39,ATL
1136,1775,1724,101,ATL
1255,1876,1718,139,ATL
1627,2628,2950,254,ATL
1360,2348,2312,167,ATL
989,1492,1235,60,ATL
1093,1782,1910,67,ATL
880,1095,919,26,ATL
1203,1920,1574,122,ATL
1055,1460,1807,147,ATL
959,1540,1726,119,ATL
1182,2139,1990,165,ATL
1216,2066,1957,142,ATL
1252,2139,1958,123,ATL
1870,3774,3410,415,ATL
2089,3843,4467,423,ATL
1462,2609,2737,176,ATL
921,1442,1477,97,ATL
946,1389,1290,36,ATL
1044,1680,1900,79,ATL
1782,2782,2739,210,ATL
1801,2983,2434,307,ATL
1195,1960,1539,187,ATL
1432,2473,1975,117,ATL
1177,2128,1826,104,ATL
1323,2052,1624,130,ATL
1379,2524,2085,231,ATL
1348,1837,1318,179,ATL
1365,1769,1668,141,ATL
1242,1965,2500,97,ATL
1166,2019,1524,52,ATL
954,1227,1175,61,ATL
1187,1476,1055,50,ATL
1231,1422,1539,133,ATL
1342,1742,1301,273,ATL
1496,2025,1533,121,ATL
1201,1566,1447,139,ATL
1314,1536,1422,169,ATL
1748,2300,1803,172,ATL
1420,2066,1581,185,ATL
1403,1940,1612,187,ATL
945,1027,1075,86,ATL
1021,1034,1010,30,ATL
1112,1420,1457,61,ATL
1529,2176,1616,147,ATL
1163,1505,1196,120,ATL
374,495,685,66,BOS
450,587,609,61,BOS
481,698,978,100,BOS
287,413,675,23,BOS
348,382,539,13,BOS
311,414,418,22,BOS
435,655,1065,60,BOS
450,699,642,85,BOS
358,484,606,61,BOS
374,578,983,35,BOS
399,529,753,21,BOS
435,662,1295,91,BOS
520,794,1053,119,BOS
635,815,1481,177,BOS
588,793,1041,152,BOS
382,423,627,71,BOS
461,475,916,57,BOS
458,539,900,63,BOS
654,847,1023,115,BOS
632,757,1413,141,BOS
502,592,920,61,BOS
694,929,1050,93,BOS
499,531,750,60,BOS
383,450,1299,86,BOS
596,761,1168,132,BOS
643,974,1472,180,BOS
582,688,1643,158,BOS
414,457,1515,99,BOS
453,586,1702,104,BOS
482,609,1082,62,BOS
619,812,884,96,BOS
531,629,1136,129,BOS
469,661,941,80,BOS
578,640,807,57,BOS
543,627,1157,60,BOS
521,743,2301,132,BOS
688,962,2125,186,BOS
684,873,1402,202,BOS
656,755,1250,132,BOS
571,696,1108,131,BOS
577,856,1427,156,BOS
601,797,1417,151,BOS
675,853,711,92,BOS
640,792,826,111,BOS
778,1028,932,198,BOS
1017,1079,1380,162,BOS
752,898,1793,175,BOS
651,734,1304,127,BOS
899,1042,1740,222,BOS
776,947,1580,222,BOS
751,965,1013,161,BOS
453,434,811,54,BOS
466,627,1220,61,BOS
442,630,737,70,BOS
627,900,1029,151,BOS
503,587,708,81,BOS
527,782,1055,103,BOS
620,862,954,118,BOS
502,681,1091,99,BOS
504,602,712,93,BOS
654,967,1489,155,BOS
637,876,1359,126,BOS
636,763,1356,118,BOS
367,357,854,71,BOS
342,274,576,36,BOS
357,408,1032,68,BOS
593,798,1024,129,BOS
495,579,739,100,BOS
342,345,555,41,BOS
468,531,770,67,BOS
494,547,778,90,BOS
433,521,793,73,BOS
506,679,2065,126,BOS
519,705,1461,121,BOS
544,568,958,72,BOS
411,263,668,29,BOS
413,429,659,40,BOS
340,313,644,12,BOS
511,651,546,89,BOS
505,514,895,63,BOS
482,504,857,76,BOS
592,624,1436,61,BOS
388,390,500,32,BOS
406,474,638,51,BOS
508,605,778,63,BOS
629,739,805,77,BOS
497,566,976,66,BOS
396,404,848,61,BOS
436,500,924,35,BOS
410,457,886,27,BOS
689,760,941,85,BOS
532,667,686,73,BOS
416,589,463,41,BOS
531,643,920,42,BOS
556,770,1180,59,BOS
584,694,2031,79,BOS
653,791,1115,90,BOS
706,791,762,77,BOS
616,781,1149,103,BOS
409,493,1129,49,BOS
374,470,945,37,BOS
325,340,471,18,BOS
318,343,216,14,BOS
375,401,435,36,BOS
296,297,250,15,BOS
513,528,532,32,BOS
407,379,324,25,BOS
458,458,697,70,BOS
535,609,759,65,BOS
586,779,682,72,BOS
588,720,556,57,BOS
442,433,589,22,BOS
434,425,483,15,BOS
416,366,435,22,BOS
498,693,258,19,BOS
395,461,243,35,BOS
403,539,419,52,BOS
515,756,775,43,BOS
498,720,554,34,BOS
510,582,862,52,BOS
676,1062,911,97,BOS
725,1224,996,94,BOS
587,902,748,37,BOS
438,434,526,36,BOS
386,401,347,14,BOS
382,386,249,21,BOS
669,912,588,75,BOS
633,721,348,119,BOS
457,646,407,62,BOS
502,654,410,29,BOS
421,665,422,31,BOS
542,654,633,68,BOS
601,820,755,99,BOS
643,1055,851,97,BOS
590,737,574,71,BOS
376,378,498,33,BOS
448,534,1102,75,BOS
450,561,546,45,BOS
534,602,744,31,BOS
545,691,651,83,BOS
617,904,1104,115,BOS
697,837,638,60,BOS
525,639,677,54,BOS
540,654,611,71,BOS
701,910,777,99,BOS
701,969,618,66,BOS
684,890,744,78,BOS
468,506,597,50,BOS
476,459,498,36,BOS
487,439,418,22,BOS
581,791,405,46,BOS
544,605,396,53,BOS
296,477,389,78,BWI
387,646,544,102,BWI
396,668,734,127,BWI
238,289,358,41,BWI
280,412,334,18,BWI
291,408,380,20,BWI
397,638,568,40,BWI
371,611,487,60,BWI
336,543,362,44,BWI
413,589,406,16,BWI
363,648,398,34,BWI
393,795,730,114,BWI
427,829,619,108,BWI
432,839,705,124,BWI
403,725,572,104,BWI
278,385,304,41,BWI
328,481,297,25,BWI
377,604,299,27,BWI
467,903,502,59,BWI
454,852,556,73,BWI
344,635,430,22,BWI
447,803,402,45,BWI
326,459,310,25,BWI
292,557,263,40,BWI
450,875,635,120,BWI
543,1083,820,136,BWI
530,908,474,94,BWI
322,469,177,35,BWI
389,703,305,27,BWI
373,621,316,35,BWI
544,811,430,59,BWI
372,631,352,49,BWI
358,628,239,49,BWI
427,669,281,31,BWI
383,673,305,54,BWI
453,834,369,61,BWI
596,1072,727,178,BWI
536,959,698,118,BWI
468,786,412,88,BWI
347,679,352,74,BWI
426,713,396,42,BWI
418,713,485,45,BWI
502,807,304,44,BWI
400,579,366,40,BWI
496,727,392,70,BWI
553,823,442,49,BWI
435,686,396,61,BWI
429,709,642,75,BWI
563,1065,906,177,BWI
651,1249,860,172,BWI
625,1055,662,129,BWI
344,550,294,33,BWI
361,740,434,38,BWI
406,569,311,25,BWI
608,934,494,76,BWI
443,715,429,50,BWI
498,1015,440,85,BWI
579,1009,395,64,BWI
402,652,389,36,BWI
300,536,282,44,BWI
413,919,774,191,BWI
405,840,703,184,BWI
399,695,435,86,BWI
249,357,275,30,BWI
258,377,198,14,BWI
277,464,278,25,BWI
561,1024,468,89,BWI
399,565,396,65,BWI
236,315,184,20,BWI
335,590,293,30,BWI
345,571,354,47,BWI
339,624,376,77,BWI
418,829,557,122,BWI
434,813,549,94,BWI
441,716,559,115,BWI
267,402,168,16,BWI
353,598,210,20,BWI
258,401,211,8,BWI
464,901,404,79,BWI
435,647,414,48,BWI
321,498,350,69,BWI
473,834,425,29,BWI
324,536,222,30,BWI
384,670,447,73,BWI
481,883,637,120,BWI
518,955,722,107,BWI
416,759,510,63,BWI
278,421,271,20,BWI
419,689,264,14,BWI
363,553,266,10,BWI
560,857,462,56,BWI
428,743,370,55,BWI
315,493,293,43,BWI
368,642,305,33,BWI
424,811,552,55,BWI
453,826,522,70,BWI
369,779,479,98,BWI
418,784,588,101,BWI
375,687,672,103,BWI
309,517,629,56,BWI
338,501,318,23,BWI
239,327,160,11,BWI
238,332,152,2,BWI
259,348,258,21,BWI
202,240,131,9,BWI
321,542,265,27,BWI
279,390,144,19,BWI
406,647,514,44,BWI
436,669,516,69,BWI
489,879,769,129,BWI
430,727,688,111,BWI
298,425,719,88,BWI
381,566,612,47,BWI
370,521,515,30,BWI
384,762,501,101,BWI
311,427,291,26,BWI
296,467,291,16,BWI
356,684,378,49,BWI
375,651,387,41,BWI
441,707,598,64,BWI
516,1060,746,156,BWI
535,952,758,116,BWI
442,785,370,39,BWI
370,528,271,37,BWI
362,569,280,18,BWI
408,607,211,27,BWI
694,1340,404,53,BWI
652,923,425,66,BWI
392,628,235,18,BWI
502,847,287,24,BWI
431,783,276,22,BWI
570,874,382,73,BWI
536,871,409,107,BWI
530,903,425,126,BWI
483,760,327,72,BWI
327,550,306,31,BWI
378,587,326,14,BWI
303,509,194,15,BWI
385,648,225,11,BWI
394,550,290,31,BWI
358,499,237,58,BWI
417,567,259,23,BWI
306,511,195,47,BWI
382,571,232,47,BWI
541,827,585,138,BWI
551,909,513,82,BWI
403,654,419,82,BWI
301,374,447,89,BWI
278,310,283,16,BWI
341,437,249,13,BWI
461,700,243,46,BWI
290,353,169,20,BWI
